Age,Income,SpendingScore,ProductViews,CartAdditions,CategoryInterest,BrandLoyalty,DiscountSensitivity,TimeOnSite,PreviousPurchases,AffinityScore
56,29930,17.93007458740461,16,5,3,0.9352048568630712,0.2798645089391024,317.9104949449157,35,0.33253240734541206
69,23285,43.16098752743123,7,5,2,0.7558104968640627,0.1071940801021517,299.1321326925817,41,0.38377793786388104
46,143637,19.530138377767752,13,3,3,0.4633765703949233,0.5202429402412522,410.02065242908947,2,0.5771721600772606
32,55863,77.55709997132317,6,12,4,0.6070528962406389,0.8063622610421702,409.1076380941762,4,0.5211758342254194
60,36704,47.96289135748728,7,10,4,0.9075217012091885,0.3061635310630524,289.5191529331964,12,0.3759325607090119
25,38705,35.76322536512439,9,4,7,0.8312285600030505,0.260532164721767,290.76995559336024,4,0.3982851520297985
38,20555,36.74886442202022,6,5,4,0.6154534856616894,0.20776782008855255,348.11245626260984,33,0.4150248823693063
56,41323,85.36920646557496,9,5,9,0.9153184842698747,0.47668702941243024,378.56382860465976,47,0.4676729267149419
36,90968,55.82362147514937,5,5,8,0.38028696512010274,0.5727611360133569,337.6787608123975,6,0.4406488441378053
40,86922,72.0689172619951,10,9,1,0.7331804510262881,0.13456571005212292,285.30335032984294,8,0.5228307904626568
28,73915,89.80681310881776,11,7,1,0.016115115222375187,0.8014335297248047,235.98426205132975,33,0.556742683130362
28,129543,90.27242592802357,11,10,6,0.5829737756086586,0.5300737774196674,308.35138247294185,27,0.8164220785807021
41,30619,33.52239637944845,10,8,4,0.13697890707489102,0.5627617106402684,346.92715091969035,1,0.261611901403773
53,92390,95.29267505149214,7,7,6,0.5243007762075218,0.11755874089628104,286.2715851104223,49,0.5565485291054407
57,148918,3.462712319445939,8,7,9,0.24651131373423685,0.6232453530850507,293.06466285126993,27,0.4839560598840174
41,128500,38.3067205406004,11,8,5,0.3806830420888394,0.6783192840614306,323.43834790023647,44,0.6689522693692002
20,134337,89.68408689337532,8,7,8,0.7921645953290058,0.4038150363560824,259.73494689914304,37,0.7151203126694246
39,79274,28.18905110188131,12,4,2,0.05860481155388675,0.5992132921474151,274.073204001658,3,0.4196001052190826
19,93173,28.03506358181052,5,7,8,0.5374014451710033,0.23341813039093362,304.34596032543175,23,0.47566940005676184
41,41225,30.95960622310698,17,6,8,0.14487358659747962,0.6392818647994908,288.67418283310724,1,0.259934374355627
61,131266,61.6190250998453,8,10,2,0.5732410732833287,0.5330198354709266,322.55955889594856,37,0.7154161652697919
47,46739,44.394944785821025,13,6,7,0.6335931756738744,0.582800286540508,297.88929887405266,44,0.5218580613265605
55,67708,72.94674879898092,8,3,8,0.18208593760066583,0.25170128476604636,225.9918528879485,32,0.5029377363736601
19,148041,89.59615361390192,9,5,7,0.005966707610417066,0.7891054443917351,181.52115150889108,23,0.5832360974673672
38,73019,67.7457381193432,10,9,6,0.08545331250076382,0.8259615219930188,351.51998546273705,32,0.5474983531425218
50,96154,21.242205299559973,6,10,3,0.6896128786531838,0.10475189546511687,285.88157596565765,33,0.4233106617525097
29,122097,93.33550833368972,10,7,3,0.3800988266891868,0.8676263644784327,310.65021499959596,16,0.6512496098787725
39,27373,27.184794461400372,11,3,8,0.37289499701649376,0.7758931183664193,294.4367443130637,45,0.3493544963528273
61,55281,15.839535237487654,7,2,4,0.691890444555585,0.5532422026553377,340.50565376878416,19,0.36222039001227097
42,40187,9.906760607235128,13,6,8,0.49713239815397225,0.055099875195212755,255.2373861104209,40,0.3257054846057741
66,87863,56.77499032595039,6,13,6,0.6370852094402801,0.5232675044145394,352.3813051718609,19,0.5399922096661369
44,117927,12.262483785584529,12,8,3,0.919328865555584,0.468585592394564,389.4555685762216,22,0.5965167676044698
